doc_a,doc_b,best_guess_label,confidence,notes
"19980120_00000293_Asst_to_Director,_Rec_Services.doc.doc","19980120_00000293_Assistant_to_the_Director,_Rec_Services.doc.doc",exact-dup,high,"pos 00000293 — same md5 hash group per census; title differs in filename only"
"19980120_00000293_Asst_to_Director,_Rec_Services.doc","19980120_00000293_Asst_to_Director,_Rec_Services.doc.doc",near-dup,high,"pos 00000293 base vs stacked-extension re-save; census gives base a distinct hash"
"19980120_00000293_Asst_to_Director,_Rec_Services.doc","19980120_00000293_Assistant_to_the_Director,_Rec_Services.doc.doc",near-dup,high,"same position, near-identical body, different hash"
"19980120_00000293_Asst_to_Director,_Rec_Services.doc","19980120_19980120_00000293_Asst_to_Director,_Rec_Services.rtf",near-dup,medium,"same position, format converted .doc->.rtf; doubled-date filename"
"19980120_00000293_Asst_to_Director,_Rec_Services.doc.doc","19980120_19980120_00000293_Asst_to_Director,_Rec_Services.rtf",near-dup,medium,"same position across formats"
"19980120_00000293_Assistant_to_the_Director,_Rec_Services.doc.doc","19980120_19980120_00000293_Asst_to_Director,_Rec_Services.rtf",near-dup,medium,"same position across formats"
"20181014_00124799_Research_Project_Manager.docx","20200214_00124799_JDFN_APSA_20200219.docx",near-dup,high,"pos 00124799 revision chain: pre-JDFN -> JDFN re-template, ~16 months apart"
"20181014_00124799_Research_Project_Manager.docx","20201109_00124799,_00124800,_00124801_JDFN_APSA_20201109.docx",near-dup,medium,"pos 00124799 appears in a multi-ID bundle file; content overlap expected but bundled"
"20181014_00124799_Research_Project_Manager.docx","20240717_00124799^00136606_JDFN_APSA_20241223.docx",near-dup,medium,"same position 6 years later, caret-joined ID; content may have drifted"
"20200214_00124799_JDFN_APSA_20200219.docx","20201109_00124799,_00124800,_00124801_JDFN_APSA_20201109.docx",near-dup,high,"pos 00124799 same year, JDFN re-save vs bundle"
"20200214_00124799_JDFN_APSA_20200219.docx","20240717_00124799^00136606_JDFN_APSA_20241223.docx",near-dup,medium,"pos 00124799 2020 vs 2024 revision"
"20201109_00124799,_00124800,_00124801_JDFN_APSA_20201109.docx","20240717_00124799^00136606_JDFN_APSA_20241223.docx",near-dup,medium,"pos 00124799 bundle vs later caret-joined revision"
"19820219_00001211Systems_consultantII.doc","19820219_00001219Systems_consultantII.doc",near-dup,medium,"adjacent position IDs, identical title & date — likely parallel/cloned positions"
"19670501_00006855Assistant_to_assoc_dean.doc","19910121_00030393Administrative_assistant.doc",same-role,medium,"Assistant family, different positions/eras"
"19670501_00006855Assistant_to_assoc_dean.doc","19980120_00000293_Asst_to_Director,_Rec_Services.doc",same-role,medium,"Assistant-to-X family"
"19910121_00030393Administrative_assistant.doc","19980120_00000293_Asst_to_Director,_Rec_Services.doc",same-role,medium,"Assistant family"
"19900123_00030838Network_manager.doc","20060716_Manager,_Acad___Admin.Serv,Public_Policy.doc.doc.doc",same-role,medium,"Manager family, different domains"
"19900123_00030838Network_manager.doc","20060224_00000328_Manager,_A_183C39.serv",same-role,low,".serv is unreadable — role from filename only"
"20060716_Manager,_Acad___Admin.Serv,Public_Policy.doc.doc.doc","20060224_00000328_Manager,_A_183C39.serv",same-role,low,"Manager family; one side unreadable"
"19910419_00030834Director_pub_relation_HC.doc","20110110_00001878_Dir_Ugrad_Programs.docx",same-role,medium,"Director family, different domains/eras"
"19910419_00030834Director_pub_relation_HC.doc","20140728_00115642_Program_Director.docx",same-role,medium,"Director family"
"19910419_00030834Director_pub_relation_HC.doc","20160104_00118493_Assoc_Dir_Venture_Cnctn.docx",same-role,low,"Director vs Associate Director — seniority differs within family"
"20110110_00001878_Dir_Ugrad_Programs.docx","20140728_00115642_Program_Director.docx",same-role,medium,"Director family, academic programs"
"20110110_00001878_Dir_Ugrad_Programs.docx","20160104_00118493_Assoc_Dir_Venture_Cnctn.docx",same-role,low,"Director vs Associate Director"
"20140728_00115642_Program_Director.docx","20160104_00118493_Assoc_Dir_Venture_Cnctn.docx",same-role,low,"Director vs Associate Director"
"19901029_00000063Laboratory_coordinator.doc","20110115_00100214_Admin_Coord.docx",same-role,medium,"Coordinator family, different domains"
"19901029_00000063Laboratory_coordinator.doc","20000601_00031286_Coord_Prof_Prog_Jun2000.rtf",same-role,medium,"Coordinator family"
"20110115_00100214_Admin_Coord.docx","20000601_00031286_Coord_Prof_Prog_Jun2000.rtf",same-role,medium,"Coordinator family"
"19920428_00001201Clerk.doc","20090701_00102072_Clerk,_Gr_4.docm",same-role,high,"Clerk family, old-era vs graded transition-era"
"19920430_00000536Secretary.doc","20060327_Sec_to_Director_REM.txt",same-role,medium,"Secretary family"
"19820219_00001211Systems_consultantII.doc","19920608_00006375Programmer_analyst.doc",same-role,low,"Systems/analyst family — loose grouping, verify by body"
"19820219_00001219Systems_consultantII.doc","19920608_00006375Programmer_analyst.doc",same-role,low,"Systems/analyst family — loose grouping"
"19970808_00030273Dept_resource_specialist.doc","20170310_00116227_Video_Journalist.docx",same-role,low,"both 'specialist'-ish individual-contributor; weak — verify"
"20231027_00125977_JDFN_APEX_20231030.docx","20260616_00134720_APEX_JDFN_20260616.docx",same-role,low,"both APEX executive group; role equivalence needs body check"
"20210804_00129695_JDFN_CUPE_20210804.docx","20260626_00138568_JDFN_CUPE_20260624.docx",same-role,low,"both CUPE union template; different positions"
"19920428_00001201Clerk.doc","19910419_00030834Director_pub_relation_HC.doc",different,high,"Clerk vs Director — unrelated"
"19920430_00000536Secretary.doc","19900123_00030838Network_manager.doc",different,high,"Secretary vs Manager"
"19920501_00000981Technician_May1992.doc","20231027_00125977_JDFN_APEX_20231030.docx",different,high,"Technician vs APEX executive"
"19930630_00031708Traffic_park_enf_officer.doc","19920430_00000536Secretary.doc",different,high,"Enforcement officer vs Secretary"
"19970808_00030273Dept_resource_specialist.doc","19920428_00001201Clerk.doc",different,medium,"Specialist vs Clerk"
"19670501_00006855Assistant_to_assoc_dean.doc","19920501_00000981Technician_May1992.doc",different,high,"Assistant vs Technician"
"19920608_00006375Programmer_analyst.doc","19920430_00000536Secretary.doc",different,high,"Analyst vs Secretary"
"20170310_00116227_Video_Journalist.docx","19920428_00001201Clerk.doc",different,high,"Video Journalist vs Clerk"
"20210804_00129695_JDFN_CUPE_20210804.docx","20231027_00125977_JDFN_APEX_20231030.docx",different,high,"CUPE union role vs APEX executive — different groups & roles"
"20191128_00119031_JDFN_APSA_20191128.docx","20200924_00001090_JDFN_APSA_20200101.docx",different,medium,"different APSA positions/roles, same employee group"
"20191128_00119031_JDFN_APSA_20191128.docx","20210901_00131366_JDFN_APSA_20210910.docx",different,medium,"different APSA positions"
"20200924_00001090_JDFN_APSA_20200101.docx","20210901_00131366_JDFN_APSA_20210910.docx",different,medium,"different APSA positions"
"20210901_00131366_JDFN_APSA_20210910.docx","20231024_00112766_JDFN_APSA_20231220.docx",different,medium,"different APSA positions"
"20231024_00112766_JDFN_APSA_20231220.docx","20260702_00138231_JDFN_APSA_20260615.docx",different,medium,"different APSA positions"
"19670501_00006855Assistant_to_assoc_dean.doc","20260702_00138231_JDFN_APSA_20260615.docx",different,high,"1967 Assistant vs 2026 APSA — cross-era, unrelated roles"
"19900123_00030838Network_manager.doc","19970808_00030273Dept_resource_specialist.doc",different,medium,"Manager vs Specialist"
"19910419_00030834Director_pub_relation_HC.doc","19920501_00000981Technician_May1992.doc",different,high,"Director vs Technician"
"20110115_00100214_Admin_Coord.docx","20231027_00125977_JDFN_APEX_20231030.docx",different,high,"Coordinator vs APEX executive"
"20000601_00031286_Coord_Prof_Prog_Jun2000.rtf","19930630_00031708Traffic_park_enf_officer.doc",different,high,"Coordinator vs enforcement officer"
"20090701_00102072_Clerk,_Gr_4.docm","20160104_00118493_Assoc_Dir_Venture_Cnctn.docx",different,high,"Clerk vs Associate Director"
"19820219_00001211Systems_consultantII.doc","19920428_00001201Clerk.doc",different,medium,"Systems consultant vs Clerk"
"20170310_00116227_Video_Journalist.docx","20210804_00129695_JDFN_CUPE_20210804.docx",different,medium,"Journalist vs CUPE role"
"20140728_00115642_Program_Director.docx","19920430_00000536Secretary.doc",different,high,"Program Director vs Secretary"
"19910121_00030393Administrative_assistant.doc","19930630_00031708Traffic_park_enf_officer.doc",different,medium,"Admin assistant vs enforcement officer"
"20040301_06983.txt","19910419_00030834Director_pub_relation_HC.doc",different,low,"id-only txt stub — content unknown; treat as different pending parse"
"20040301_06983.txt","20260702_00138231_JDFN_APSA_20260615.docx",different,low,"id-only txt stub vs APSA role"
"19920507_30411_PC.tif","20191128_00119031_JDFN_APSA_20191128.docx",different,low,"scanned .tif (needs OCR) vs APSA role — cannot compare bodies yet"
